	ActualOutput	Sentence	sentiment
137	-1	it makes the dvd player to switch between interlace mode and progressive scan mode .	-1
138	-1	in the last month i bought the apex ad-1600 and the ad-1220 .	-1
139	-1	i end up unplugging it from the wall for a few hours and when i try again it will work fine.at least until this problem arises again .	-1
140	-1	unfortunately , the player would not read any of my region one dvds. even though they were not damaged in any way .	-1
141	-1	my recommendation is to wait on buying one from this company as they will surely get sent a message of many returned dvd players after christmas 2003 .	-1
142	-1	it wo n't play all of my movies .	-1
143	-1	but i would expect that , since my movie discs have all played with no problem , the extras discs would , too , without any additional tweaking .	-1
144	-1	however , the ad-2600 does n't have this feature ( for now ) .	-1
145	-1	i paid $ 49 and now it 's $ 125 !	-1
146	-1	i guess i 'm just lucky to get a good working unit !	-1
147	1	simple to use and hook up .	-1
148	-1	the trouble shooting section in the user 's manual , suggesting correct and secure connections , does n't help .	-1
149	-1	i bought this as a gift for my sister .	-1
150	-1	i have tried many times to get a hold of apex who does n't seem to answer their emails and telephone number is constantly busy as ( i believe ) the one lonely customer service rep is probably extremely overworked .	-1
151	-1	i have not yet tried the photo show capability , but i 'm thinking that will probably work well too , based on the success with the above mentioned disks .	-1
152	1	basic usage is easy , but the remote has a lot of buttons that i have n't used .	1
153	-1	have tried calling ( 866-4apexgo ) , but can 't get through .	-1
154	1	and the slim form-factor together with the mirror-like front panel sure makes the player look cool and pricey !	1
155	-1	they claim to respond in a 24 hour period yet it 's been 2 weeks without a reply .	-1
156	1	the player looked good right out of the box , offering lots of features and good styling .	1
157	-1	imagine my shock - and absolute instant disdain for any products made by apex .	-1
158	-1	after less than 24 hours it turned out to be a huge disappointment , for myself and for my parents , for whom it was a gift .	-1
159	1	and amazon.com has it for such a great price -- how can you go wrong ?	1
160	1	the dvd player is fine .	1
161	1	i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category .	-1
162	-1	i have been trying for over a week to contact apex .	-1
163	-1	i had apex regular ( non-progressive ) dvd-player for two years .	-1
164	-1	before you try to return the player or waste hours calling apex tech support , or run the player over with your car , try these simple troubleshooting ideas first .	-1
165	-1	the physical appearance of this apex compared to one previous ( ad1100w ) is most appreciated .	-1
166	-1	as it is , i 'm keeping the machine .	-1
167	-1	i have sent my ad2600 back to apex because it wo n't play certain disney and other dvd movies ( no disc message ) .	-1
168	-1	this is extemely lame .	-1
169	-1	wow !	-1
170	-1	i wanted a dvd player that had basic features and would be able to play dvd - r format disc 's that i had made myself .	-1
171	-1	it is more than 90 days and it does not show the picture no matter what i do .	-1
172	1	so much packed in a small case and very affordable !	1
173	-1	as an engineer , i am embarrassed for the engineering profession when such crap is released for sale .	-1
174	-1	( on here of course ) also , a couple dvd 's would n't play and they were new ones !	-1
175	-1	customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them .	-1
176	-1	p.s the remote control does seem to get confused at times and doesnt respond but it may be just operator error ?	-1
177	-1	because of this , i am disappointed and would not recommend this product .	-1
178	-1	thought i 'd weigh in here with my stats .	-1
179	-1	unit took forever since the begiining to recognize and play discs .	-1
180	-1	their customer ( www.apexdigitalinc.com ) service is very poor .	-1
181	-1	if i could give this a negative rating , i would .	-1
182	-1	the first one was the 705 which i hacked successfully to play all region dvds and disable macrovision .	-1
183	-1	if this doesnt bring back the picture , try pressing this button without playing a dvd .	-1
184	-1	that is where my satisfaction ends .	-1
185	-1	this player is not worth any price and i recommend that you do n't purchase it .	-1
186	-1	this was an awesome player , before the video output no longer worked ( after about 3 weeks ) .	-1
187	-1	goodluck !	-1
188	-1	you can get a pretty good progressive scan sony or toshiba now for 68 bucks just about anywhere .	-1
189	-1	we did n't get to use it again for over a month ( sad , i know ) .	-1
190	-1	so far i 've played regular dvd 's , backup dvd-r 's , mp3 cd 's , and regular cd 's .	-1
191	1	for the price it is a well spent investment !	1
192	1	and so far have not had any problems with dvds not being able to play .	-1
193	1	so far , we 've only used this player a few times to watch movies and it has worked fine .	-1
194	-1	there should have been a recall on this product .	-1
195	-1	i just got screwed out of fifty bucks .	-1
196	-1	but heck it plays my alias dvds .	-1
197	-1	i will never purchase anything from this company ever again and have logged my complaint with the bbb .	-1
198	1	for the price , it 's a very nice dvd player .	1
199	-1	now i need to buy myself another one !	-1
200	1	its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had .	1
201	-1	the most recent is that it will stop responding to the on/off button .	-1
202	-1	usually i just skip to the next chapter to avoid it .	-1
203	-1	after hooking the thing up , i found that it would only played less than 50 % of the dvds i put in it .	-1
204	1	good quality video .	-1
205	-1	i thought it was just the player , but then i started checking the discs to find that the apex 2600 is actually ruining my media .	-1
206	1	without a doubt the finest looking apex dvd player that i 've seen .	-1
207	-1	i think for about $ 40 more , you can probably find a much better dvd player than this though .	-1
208	1	it plays just about any format ( check before you buy if it plays yours . )	-1
209	-1	the case had ad2600 .	-1
210	-1	some movies it played yesterday , it wo n't play today .	-1
211	-1	i guess you get what you pay for .	-1
212	-1	however , it has failed to deliver on quality .	-1
213	-1	"can 't say whether i rec 'd an "" updated "" model but it will not read dvd + rw 's or vcd 's for me ."	-1
214	-1	i have a dvd burner .	-1
215	-1	i was impressed by this very inexpensive player.for the first three hours , and then it died .	-1
216	-1	i 've owned 6 or 7 dvd players since 1998 .	-1
217	-1	i bought this to replace an expensive ( $ 300 + ) onkyo dvd player that quit after only 3 years !	-1
218	-1	by the way my alias dvds are legit too not no bootleg from the internet .	-1
219	-1	or does it play audio and video but scrolling in black and white ?	-1
220	-1	"after "" loading "" for what seemed like a very long time , the display indicated "" no disk "" ."	-1
221	-1	we have had this product for over a month and yesterday it stopped working .	-1
222	-1	even if i had paid full price i would have considered this a good deal .	-1
223	-1	there 's a noticeable difference in the quality of a 4 megapixel image versus the 2 megapixels of the s330 , especially if you want to crop and enlarge the pictures .	-1
224	-1	cameras capture moments .	-1
225	-1	it helps avoid the problem of a color cast on the pictures , especially in mixed-light settings .	-1
226	-1	it is less versatile , but i am never disappointed with the output .	-1
227	-1	i cant use my nikon external flash on a canon camera , but i can use my metz , with the proper metz module and extension cord connected between the g3 and the 60 ct-4 .	-1
228	1	with canon , you get pictures that appear to be photos , not still camcorder shots .	-1
229	-1	flaws ?	-1
230	-1	ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras .	-1
231	-1	i am a long-time user of highly responsive film slrs and professional quality external flash equipment , just so you know my bias .	1
232	1	the service from the supplier was exceptional .	-1
233	-1	this effect is increased when one buys and uses a telephoto doubler .	-1
234	-1	hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations .	-1
235	-1	you see , i can 't rank the product since the merchant that amazon is collaborating with ( j and r camera . ) to bring us consumers better choices never sent me the product .	-1
236	-1	especially useful with portraits and difficult-to-meter situations .	-1
237	-1	i cancelled the order .	-1
238	-1	your child is going to do a cannonball off the diving board , so you compose the shot and wait for your moment .	-1
239	-1	i did have ability to charge it every night , so do n't know how long it would have actually gone before dying .	-1
240	1	i was worried that 4 megapixel photos would download more slowly , but there 's no difference in working with the files .	-1
241	-1	canon 's g3 does it consistently .	-1
242	-1	but who cares ?	-1
243	-1	( again this is my first digital camera and maybe that is just how they all are . )	-1
244	1	this is by far the finest camera in its price and category i have ever used .	1
245	-1	it was too new to have learned much about the advanced features , so i generally used the auto mode .	-1
246	1	battery life , the drawback to most digital cameras , to quote k. reeves .	-1
247	-1	at the same time , i wanted my wife to not be intimidated by knobs and buttons .	-1
248	-1	i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife .	-1
249	-1	photos had some artifacts and noise .	-1
250	-1	after i took their picture with their camera , they offered to take a picture of us .	-1
251	-1	for those who are used to brass cameras that can be dropped , picking up a camera like the g3 is an unnerving experience .	-1
252	1	i am very pleased with it so far .	1
253	-1	the catch with the canon g3 camera , ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots .	-1
254	1	the canon g3 is perhaps the best 4mp camera out there .	-1
255	1	with the automatic settings , i really have n't taken a bad picture yet .	-1
256	-1	"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference ."	-1
257	-1	highly recommended .	-1
258	-1	this camera performs like i can not believe !	-1
259	-1	i 've have n't heard about a diagnos or fix for this .	-1
260	-1	i own another canon - an eos ( 35mm film ) camera .	-1
261	-1	* main dial is not backlit .	-1
262	-1	i can take better pictures with this then my rebel ti with a good lens .	-1
263	-1	the g3 has a shoe which will take other powerful ( and expensive ) canon flashes that will allow bounce and reflected flash photography .	-1
264	1	the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use .	1
265	-1	it sometimes takes the picture at some indefinite period of time after you press the shutter button .	-1
266	-1	"though the instruction booklet says that the camera should display "" lens "" when the cap and the camera are both on , the camera lens extends out and simply takes the lens cap off by itself ."	-1
267	1	the camera was a marvel .	-1
268	-1	they have n't got all the bugs worked out just yet .	-1
269	1	its silver magnesium finish is stunning , and the sharp lines and excellent grip are better than any other camera i 've seen .	1
270	1	i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .	-1
271	-1	i also purchased a good sturdy tripod : the combination of the new camera , tripod and remote control enabled me to take some remarkable indoor , natural-light portraits i never would have attempted before .	-1
272	-1	b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage .	-1
273	-1	the function lever - the one which switches between capture and view mode feels fragile .	-1
274	-1	i did not have a backup battery , and had no need for one .	-1
275	1	although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon .	-1
276	-1	prior to the purchase , none of my digital camera friends mentioned the delay between pressing the shutter button and the camera taking the picture .	-1
277	-1	9 . in dim lit environs the g2 could easily outperform any other camera , and thankfully g3 maintains this rep .	-1
278	-1	my wife shuns all new technology and compained when i brought this home , but now she 's forever asking for the digital camera .	-1
279	-1	canon was an obvious choice , but i did not want to limit my decision , so started researching all brands that would take my microdrives .	-1
280	1	you feel like you are holding something of substance , not some cheap plastic toy .	-1
281	-1	from a dime store disposable to a top of the line eos , all film cameras share this ability to capture the moment you tell them to .	-1
282	-1	i have no buyers remorse with this baby , and i never will .	-1
283	-1	why ?	-1
284	-1	i have returned the g3 ( actually i tried two of them ) and have my g2 !	-1
285	1	not perfect ( yes , the viewfinder can get obstructed in instances.but the lcd works well enough in those instances ) , not the cheapest 4.0 mp , but the best 4.0 mp .	-1
286	-1	but once in a while , i run up against it 's major flaw :	-1
287	-1	one little minor flaw with this camera is that the lens is visible in the viewfinder , but does not detract from the image at all .	-1
288	-1	go out and get a 256meg card , it 's worth the expense .	-1
289	-1	i 'm sending mine back and am waiting for the problem to be corrected .	-1
290	-1	overall i think that you need to consider what you wan't to do .	-1
291	-1	you can use this camera right out of the box on the automatic setting , or slowly get comfortable with the manual settings and what they can do .	-1
292	-1	it is not perfect though .	-1
293	-1	looks sort of like picasa software ( google it if you dont know ) in the interface and is as easy to install and operate as g2 's , but more intuitive .	1
294	1	i have owned this camera for a short time and would n't give it up for anything .	-1
295	1	3 ) 4x zoom is nice	1
296	-1	in short , i have a new slr with an expensive lens and several film point and shoots .	-1
297	-1	well flash photos are never great , and there was still a lot of noise .	1
298	1	best camera ever . from the image quality , color , function , i can say almost everything .	1
299	-1	yep .	-1
300	-1	the nikon 's are great cameras .	1
301	1	i 've had this for 3 months now , and i am pleased with my decision .	1
302	1	but at least youre starting with the most photorealistic images ive ever seen from a camera .	-1
303	1	this is my first digital camera and i could n't be happier .	-1
304	1	i 've been pleased with the picture quality and durability in snow , car , boat and wind .	1
305	1	i am absolutely in awe of this camera , canon put enormous quality into the g3 .	-1
306	1	if you strictly use the lcd and not the view finder , i highly recommend the camera .	-1
307	-1	for those who have this metz flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz module you need is the sca 3102 and the connector cord is the sca 3000c .	-1
308	1	the best 4 megapixel/4x optical zoom camera available and fairly easy to use .	1
309	-1	as with taking digital pictures , i notice other people including myself have errors on their compactflash which results in certain shots being partially taken or lost - this is an issue that seems to effect compactflash and other digicam brand .	-1
310	-1	( 2 ) there are , actually , several differences between the g2 and g3 , such as differences in continuous shooting , the optical lens , the control layout , playback zoom , image processing , and so on .	-1
311	-1	for simple point and shoot photography , consider a cheaper digital .	-1
312	-1	relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots .	-1
313	1	the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group .	1
314	1	i bought my canon g3 about a month ago and i have to say i am very satisfied .	-1
315	1	i have yet to try using all of the adjustment options : shutter priority , aperature priority , light metering adjustments , etc. , but all controls are well thought out and and the manual is relatively clear .	1
316	-1	a lot of my opinions are more relevant for those who are switching from film .	-1
317	-1	then just forget about all the controls you have on the metz flash head itself and the sca 3102 control panel , because they are all ignored .	-1
318	-1	+ they have great optics ( cp5700 has great optical zoom ) and features , not to mention take great pictures .	1
319	-1	this camera has a major design flaw .	-1
320	1	the hot shoe flash attachment allowed me to buy and use a sophisticated flash unit :	-1
321	1	another good thing is that this camera seems to introduce much less noise in dark places than others i 've seen .	-1
322	-1	i was perfectly happy with my g2 , so why did i trade up to the g3 ?	-1
323	-1	always remember , cameras do n't take great pictures , people do !	1
324	-1	at the same time i purchased this camera i also bought adobe 's photoshop elments 2.0 software , and can 't praise it highly enough .	-1
325	1	excellent range of metering options as well .	1
326	-1	i did extensive research before chosing the g3 but there 's nothing like picking one up and playing with it first .	-1
327	-1	it focuses in a snap .	-1
328	-1	1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line )	-1
329	1	"also , the display is "" hinged "" and it can be placed in a myriad of positions , or to protect it against any damage ."	-1
330	-1	what the photoshop plug-in gives you is reality , and then if you want fantasy , you can use photoshop to create it .	-1
331	1	simply , the canon g3 is the best digital camera out there today at this price point .	1
332	1	the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture priority , shutter priority , and manual modes .	-1
333	1	5 ) its focusing system is also very flexible .	1
334	-1	after a lot of research , i decided on the g3 .	-1
335	-1	i would recommend a larger compact-flash card , at least 128 mb .	-1
336	-1	the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 .	-1
337	-1	being a great fan of the g2 i set out with g3 with a somewhat negative expectation , difficult as it is to improve drastically on something already as ' perfect ' as the powershot g2 .	1
338	-1	"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image ."	-1
339	-1	for me on the fine resolution setting ( not maximum but very close ) this adds up to over 1000 images with the 1 gig card .	-1
340	-1	yes , all cameras except g3 were 5mp but i was looking for a lot more than just megapixel power .	-1
341	-1	5 . the 1/200 sec , f5.6 + nd filter for highly exposed ( or very brightly lit ) environments .	-1
342	1	this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well .	1
343	-1	but after trying many adjustments , the camera remains unresponsive when compared to any film-based camera .	-1
344	-1	after doing a hands-on comparison between the nikon coolpix 5700 and sony dsc-f 717 ( both of which lack the quality , feel , or features of the g3 ) , i ultimately chose the g3 because of its outstanding image quality ( resolution and coloration are superior ) .	1
345	-1	i shot over 300 photos at my goddaughter 's birthday party without switching out to my backup battery .	-1
346	-1	forget the fact that it 'll probably take me a year to figure out all the features this camera has to offer .	-1
347	-1	i would recomend that you purchase a lexar media cf for the camera as the sandisk card that comes packaged is too small and too slow !	-1
348	-1	beats that sony f717 ; its archrival .	-1
349	-1	it beats the competition in almost every area including battery life , enthusiast features , external flash capabilities , available storage types , image formats , and more .	1
350	1	overall it is the best camera on the market .	1
351	-1	no one told me , but i wanted to tell you .	-1
352	1	the menus are easy to navigate and the buttons are easy to use .	1
353	1	i love this camera .	1
354	-1	i called the canon technical service center to see if i had a defective camera .	-1
355	-1	i researched , held , tested , and observed 3 different brands .	-1
356	1	when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome .	-1
357	-1	i 've tried the sony s85 with the carl zeiss lens , but the pictures were too digital .	-1
358	-1	and as i said in my review of the s330 , all of these digital cameras are easier to use with apple computers .	-1
359	-1	the second problem is solved by more direct lighting from the metz ( with the attendant shadows unfortunately ) .	-1
360	1	even with these shortcomings , i still think it is the best digital camera available under $ 1200 .	-1
361	-1	like i said , when the moment is gone , it is gone .	-1
362	1	this camera is closest to perfect than any other digicam that is 4-5 megapixel .	1
363	-1	they got the best lens adapter for the g3-better than canon 's .	-1
364	-1	i did buy the telephoto lens ( and the required extension ) .	-1
365	1	it takes great pictures , operates quickly , and feels solid .	1
366	-1	buy it for fun , for lack of processing , because you want to use iphoto , or whatever .	-1
367	-1	( looks quite neat too suggesting that canon may have , er , canonized it a bit ).	-1
368	-1	excellent idea !	1
369	1	i have taken hundreds of photos with it and i continue to be amazed by their quality .	-1
370	-1	you can even take a picture of yourself while looking at the lcd .	-1
371	-1	when it arrives , you press the shutter release .	-1
372	-1	warning - i did read the manual !	-1
373	-1	that 's what i did and hopes this helps .	-1
374	1	i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode .	-1
375	-1	the strap is horrible and gets in the way of parts of the camera you need access to .	-1
376	-1	so i finally gave them a deadline which they said they could meet .	-1
377	-1	the canon g3 .	-1
378	1	i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits .	-1
379	-1	the compact flash is delicate and i hate to swap it in fear on the connetions ( camera and cf ) bending ( can lead to cf erros ) or losing it .	-1
380	-1	the moment passes , and then your new g3 camera takes the shot .	-1
381	1	contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon .	-1
382	1	i 've only had it a week , but so far , everything about this camera is making me happy .	1
383	1	this is quite simply the best you can ask for .	1
384	-1	the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me .	-1
385	1	but canon never fails to amaze .	-1
386	1	this is my first digital camera , and what a ' toy ' it is !	-1
387	-1	this is not a handbag camera .	-1
388	-1	i have a 120 gb remote drive i use to store my digital images :	-1
389	1	what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 .	-1
390	1	i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased .	-1
391	-1	i wound up buying a gray card and use it all the time with the custom white-balance setting .	-1
392	-1	based on the cameras features and about dozen online reviews , this one seemed like the best all round deal .	-1
